Posted,Transaction Description,Amount,Balance,Tag,Tag_Category
08 01 25,Previous Balance,0.0,-442.35,99.UNASSIGNED,99.UNASSIGNED
08 01 25,State of Ne,7347.0,6904.65,Income - State of NE,Income - State of NE
08 01 25,Zelle Instant Pmt To Luis,-1150.0,5754.65,Expense - Zelle Pmt,Expense - Zelle Pmt
08 01 25,Zelle Instant Pmt To Laurie,-1700.0,4054.65,Expense - Zelle Pmt,Expense - Zelle Pmt
08 01 25,Ebf Holdings,-469.44,3585.21,Expense - MCA - EBF,Expense - MCA Repayment
08 04 25,State of Ne,1395.0,4980.209999999999,Income - State of NE,Income - State of NE
08 04 25,Zelle Instant Pmt To Lra,-250.0,4730.209999999999,Expense - Zelle Pmt,Expense - Zelle Pmt
08 04 25,Zelle Instant Pmt To Mo,-500.0,4230.209999999999,Expense - Zelle Pmt,Expense - Zelle Pmt
08 04 25,Zelle Instant Pmt To Lra,-100.0,4130.209999999999,Expense - Zelle Pmt,Expense - Zelle Pmt
08 04 25,Zelle Instant Pmt To Lra,-3100.0,1030.2099999999996,Expense - Zelle Pmt,Expense - Zelle Pmt
08 04 25,Zelle Instant Pmt From Lfg Counseling Llc,6700.0,7730.209999999999,Income - LFG Counselling,Income - LFG Counselling
08 04 25,YouTube,-88.79,7641.419999999999,"Expense - Youtube, Ring, Facebook, Stubhub, Unikabalah",Expense - Software and Subscriptions
08 04 25,Publix,-120.13,7521.289999999999,Expense - Restaurants,Expense - Travel and Entertainment
08 04 25,Ebf Holdings,-469.44,7051.849999999999,Expense - MCA - EBF,Expense - MCA Repayment
08 04 25,Sprouts Farmers Market,-48.04,7003.81,Expense - Restaurants,Expense - Travel and Entertainment
08 05 25,Ebf Holdings,-469.44,6534.37,Expense - MCA - EBF,Expense - MCA Repayment
08 06 25,Wendy’s,-17.42,6516.95,Expense - Restaurants,Expense - Travel and Entertainment
08 06 25,Clickpay Maltese,-5659.95,857.0000000000003,Expense - clckpay*maltese,Expense - Rent
