Posted,Transaction Description,Amount,Balance,Tag,Tag_Category
07 01 25,Previous Balance,0.0,7188.71,99.UNASSIGNED,99.UNASSIGNED
07 01 25,Recurring Debit Purchase GOOGLE *YouTube ************6345 On 063025 g.co/helppay CA REF # 24692165182100556694 US1 2100556,-88.79,7099.92,"Expense - Youtube, Ring, BetterHelp, Apple, Hulu, Siriusxm",Expense - Software and Subscriptions
07 01 25,Zelle Instant On 07/01/25 PMT To Shoes PMT ID=USBM8LEnJv5L,-460.0,6639.92,Expense - Zelle Pmt,Expense - Zelle Pmt
07 01 25,Debit Purchase UBER * EATS PEND ************6345 On 070125 San Francisc CA REF # 503753 07011523,-49.97,6589.95,Expense - Uber & UberEats,Expense - Travel and Entertainment
07 01 25,Recurring Debit Purchase RING STANDARD PL ************6345 On 070125 RING.COM CA REF # 24492165182100023263 US1 2100023263,-10.69,6579.26,"Expense - Youtube, Ring, BetterHelp, Apple, Hulu, Siriusxm",Expense - Software and Subscriptions
07 01 25,Electronic Withdrawal REF=251820028112440N00 To EBF HOLDINGS RPP28556778006192943192895,-446.67,6132.59,Expense - MCA - EBF,Expense - MCA Repayment
07 02 25,Electronic Withdrawal REF=251830112015610N00 To EBF HOLDINGS RPP28556778006192943192,-446.67,5685.92,Expense - MCA - EBF,Expense - MCA Repayment
07 03 25,Electronic Withdrawal REF=251840064856120N00 To EBF HOLDINGS RPP28556778006192943192,-446.67,5239.25,Expense - MCA - EBF,Expense - MCA Repayment
07 03 25,Recurring Debit Purchase CLCKPAY*MALTESE ************6345 On 070225 800-5337901 NY REF # 24239005183900013886 US1 3900013,-5659.95,-420.6999999999998,Expense - clckpay*maltese,Expense - Rent
07 07 25,Electronic Withdrawal REF=251880125867980N00 To EBF HOLDINGS RPP28556778006192943192,-446.67,-867.3699999999999,Expense - MCA - EBF,Expense - MCA Repayment
07 07 25,Overdraft Paid Fee 3900013,-36.0,-903.37,Expense - Overdraft Fees,Expense - Bank Fees
07 07 25,Overdraft Paid Fee,-36.0,-939.37,Expense - Overdraft Fees,Expense - Bank Fees
07 07 25,Zelle Instant On 07/07/25 PMT To Candice PMT ID=USBfumvnLd8Z,-500.0,-1439.37,Expense - Zelle Pmt,Expense - Zelle Pmt
07 07 25,Debit Purchase UBER *EATS ************6345 On 070325 San Francisc CA REF # 014273 07032258,-77.85,-1517.2200000000005,Expense - Uber & UberEats,Expense - Travel and Entertainment
07 07 25,Zelle Instant On 07/07/25 PMT To Laura R PMT ID=USBwxbynLdE,-200.0,-1717.2200000000005,Expense - Zelle Pmt,Expense - Zelle Pmt
07 07 25,Zelle Instant On 07/07/25 PMT To Dmv PMT ID=USBayktnLdO,-400.0,-2117.2200000000003,Expense - Zelle Pmt,Expense - Zelle Pmt
07 07 25,Electronic Withdrawal REF=251880125867970N00 To EBF HOLDINGS RPP28556778006192943192,-446.67,-2563.8900000000003,Expense - MCA - EBF,Expense - MCA Repayment
07 07 25,Zelle Instant On 07/07/25 PMT From LFG COUNSELING LLC PMT ID=JPM99bev86tl,6500.0,3936.11,Income - LFG Counselling,Income - LFG Counselling
07 08 25,Zelle Instant On 07/08/25 PMT To Attorney PMT ID=USBvnbHnLuA,-500.0,3436.11,Expense - Legal,Expense - Professional Fees
07 08 25,Recurring Debit Purchase UBER *ONE ************6345 On 070725 HELP.UBER.CO CA REF # 24036295189716144219 US1 9716144,-9.99,3426.12,Expense - Uber & UberEats,Expense - Travel and Entertainment
07 08 25,Recurring Debit Purchase DNH*GODADDY.COM ************6345 On 070725 480-505-8855 AZ REF # 24692165189107082872 US1 9107082,-14.5,3411.62,"Expense - WIX, GoDadday",Expense - Software and Subscriptions
07 08 25,Debit Purchase - VISA APF*100 Year Hom ************6345 On 070725 402-2902181 NE REF # 24906415188233330476942 8233330,-2009.99,1401.63,Expense - Personal - Debit Purchases,Expense - Personal - Debit Purchases
07 08 25,Electronic Withdrawal REF=251880308931130N00 To EBF HOLDINGS RPP28556778006192943192,-446.67,954.96,Expense - MCA - EBF,Expense - MCA Repayment
07 09 25,Electronic Withdrawal REF=251890117440810N00 To EBF HOLDINGS RPP28556778006192943192,-446.67,508.29,Expense - MCA - EBF,Expense - MCA Repayment
07 09 25,Electronic Withdrawal REF=251890071721370N00 To LENDINGPOINT LLC 1856315610PAYMENT LPT33635,-646.13,-137.84000000000017,Expense - MCA - LendingPoint,Expense - MCA Repayment
07 09 25,Recurring Debit Purchase HLU*HULUPLUS ************6345 On 070825 hulu.com/bil CA REF # 24906415189233361401 US1 9233361,-99.49,-237.32999999999996,"Expense - Youtube, Ring, BetterHelp, Apple, Hulu, Siriusxm",Expense - Software and Subscriptions
07 09 25,Recurring Debit Purchase APPLE.COM/BILL ************6345 On 070825 866-712-7753 CA REF # 24692165189107587773 US1 9107587,-10.69,-248.01999999999956,"Expense - Youtube, Ring, BetterHelp, Apple, Hulu, Siriusxm",Expense - Software and Subscriptions
07 10 25,Overdraft Paid Fee,-36.0,-284.0199999999995,Expense - Overdraft Fees,Expense - Bank Fees
07 10 25,Recurring Debit Purchase BH* BETTERHELP ************6345 On 070925 BETTERHELP.C CA REF # 24000775190100015108 US1 0100015,-80.0,-364.0199999999995,"Expense - Youtube, Ring, BetterHelp, Apple, Hulu, Siriusxm",Expense - Software and Subscriptions
07 10 25,Electronic Withdrawal REF=251910087967400N00 To EBF HOLDINGS RPP28556778006192943192,-446.67,-810.6899999999996,Expense - MCA - EBF,Expense - MCA Repayment
07 10 25,Zelle Instant On 07/10/25 PMT To David PMT ID=USBbJkpnM4Of,-1500.0,-2310.69,Expense - Zelle Pmt,Expense - Zelle Pmt
07 10 25,Zelle Instant On 07/10/25 PMT To Laurie PMT ID=USBB34MnM4NZ,-2000.0,-4310.69,Expense - Zelle Pmt,Expense - Zelle Pmt
07 10 25,Zelle Instant On 07/10/25 PMT From LAURIE GRASER PMT ID=39X0JFR7YTIL,1200.0,-3110.69,Income - Zelle Receival,Income - Zelle Receival
07 10 25,"Wire Credit REF010576 ORG=EBF HOLDINGS, LLC WELLS SF 250710B018RR DBA EVEREST BUSINESS FUND",30654.6,27543.91,Income - MCA Disbursal - EBF,Income - MCA Disbursal
07 11 25,Zelle Instant On 07/11/25 PMT To Laurie PMT ID=USBQ0krnMmWE,-800.0,26743.91,Expense - Zelle Pmt,Expense - Zelle Pmt
07 11 25,Debit Purchase 465450 ************6345 PETCO 1538 HALLANDALE BFL On 071125 ILNKILNK REF 519213465450 5007110,-47.06,26696.849999999995,Expense - Personal - Debit Purchases,Expense - Personal - Debit Purchases
07 11 25,Zelle Instant On 07/11/25 PMT To As PMT ID=USB6sFXnMlRc,-2100.0,24596.849999999995,Expense - Zelle Pmt,Expense - Zelle Pmt
07 11 25,Debit Purchase - VISA OMAHA PUBLIC POW ************6345 On 071025 402-636-3675 NE REF # 24036295191714550757289 1714550,-565.0,24031.849999999995,Expense - Business - Debit Purchases,Expense - Business - Debit Purchases
07 11 25,Mobile Banking Payment To Credit Card *************2,-500.0,23531.849999999995,Expense - Pmts to Credit Card,Expense - Pmts to Credit Card
07 11 25,Electronic Withdrawal REF=251910159764120N00 To EBF HOLDINGS LLC 1900922982EBF DEBIT 000000012092,-469.44,23062.41,Expense - MCA - EBF,Expense - MCA Repayment
07 11 25,Zelle Instant On 07/11/25 PMT To Candice PMT ID=USBNrRSnMmVZ,-400.0,22662.41,Expense - Zelle Pmt,Expense - Zelle Pmt
07 11 25,Electronic Settlement REF=251920136233300Y00 From DDV GROUP LLC SETTLMT PFSINGLE PT,-21000.0,1662.4099999999953,Expense - DDV Settlement,Expense - DDV Settlement
07 14 25,Electronic Withdrawal REF=251920191946780N00 To EBF HOLDINGS LLC 1900922982EBF DEBIT 000000012099,-469.44,1192.9699999999957,Expense - MCA - EBF,Expense - MCA Repayment
07 14 25,Debit Purchase - VISA Nike US Stores ************6345 On 071225 Aventura FL REF # 24793385193002191859080 3002191,-101.65,1091.319999999996,Expense - Personal - Debit Purchases,Expense - Personal - Debit Purchases
07 14 25,Debit Purchase - VISA MMBILL.COM ************6345 On 071225 877-338-7068 CA REF # 24492605194017072707616 4017072,-159.99,931.3299999999964,Expense - MMBILL,Expense - Personal - Debit Purchases
07 14 25,Debit Purchase - VISA ZARA USA 12063 ************6345 On 071225 AVENTURA FL REF # 24941445194052052013881 4052052,-150.55,780.7799999999961,Expense - Personal - Debit Purchases,Expense - Personal - Debit Purchases
07 14 25,Debit Purchase - VISA COCOS HAIR SALON ************6345 On 071325 AVENTURA FL REF # 24116415195406254785202 5406254,-120.7,660.0799999999963,Expense - Personal - Debit Purchases,Expense - Personal - Debit Purchases
07 14 25,Debit Purchase - VISA FACEBK *9JZWYU86 ************6345 On 071125 650-5434800 CA REF # 24793385193000901580053 3000901,-118.0,542.0799999999963,Expense - Personal - Debit Purchases,Expense - Personal - Debit Purchases
07 14 25,Debit Purchase - VISA COX OMAHA COMM S ************6345 On 071025 800-234-3993 NE REF # 24692165192100481638161 2100481,-114.61,427.4699999999966,Expense - Telecom,Expense - Utilities
07 14 25,Debit Purchase - VISA COX OMAHA COMM S ************6345 On 071025 800-234-3993 NE REF # 24692165192100049168347 2100049,-114.61,312.85999999999694,Expense - Telecom,Expense - Utilities
