Posted,Transaction Description,Amount,Balance,Tag,Tag_Category
06 01 25,Previous Balance,0.0,3018.34,99.UNASSIGNED,99.UNASSIGNED
06 02 25,Electronic Deposit REF=251490134158320Y00 From STATE OF NE 9NESWWNAS0ST PAYMENT845112539,5022.0,8040.34,Income - State of NE,Income - State of NE
06 02 25,ATM Withdrawal ************6345 1201 E HALLANDAL HALLANDALE FL Serial No. 740539231411PLUSTERM,-1003.0,7037.34,Expense - ATM Withdrawal,Expense - ATM Withdrawal
06 02 25,Recurring Debit Purchase GOOGLE *YouTube ************6345 On 053125 g.co/helppay CA REF # 24692165151106177465 US1 1106177,-88.79,6948.55,"Expense - Youtube, Ring, BetterHelp, Apple, Hulu, Siriusxm",Expense - Software and Subscriptions
06 02 25,Recurring Debit Purchase BH* BETTERHELP ************6345 On 053025 BETTERHELP.C CA REF # 24000775151100006035 US1 1100006,-80.0,6868.55,"Expense - Youtube, Ring, BetterHelp, Apple, Hulu, Siriusxm",Expense - Software and Subscriptions
06 02 25,Debit Purchase UBER *TargetAven ************6345 On 053125 San Francisc CA REF # 341237 05312003,-76.83,6791.72,Expense - Uber & UberEats,Expense - Travel and Entertainment
06 02 25,Recurring Debit Purchase LA Fitness *Ann ************6345 On 053125 949-255-7200 CA REF # 24692165151106031840 US1 1106031,-51.94,6739.780000000001,"Expense - Golf, Gym",Expense - Travel and Entertainment
06 02 25,Debit Purchase - VISA SUNPASS*ACC12728 ************6345 On 053125 888-865-5352 FL REF # 24055235152357654203575 2357654,-20.0,6719.780000000001,Expense - Car,Expense - Travel and Entertainment
06 02 25,Recurring Debit Purchase RING STANDARD PL ************6345 On 060125 RING.COM CA REF # 24492165152100015514 US1 2100015514,-10.69,6709.09,"Expense - Youtube, Ring, BetterHelp, Apple, Hulu, Siriusxm",Expense - Software and Subscriptions
06 02 25,Fee ATM Withdrawal At Other Network 0200001352 $ 3.00 Card Number: xxxx-xxxx-xxxx-6,-3.0,6706.09,Expense - ATM Fees,Expense - Bank Fees
06 02 25,Electronic Withdrawal REF=251500115942230N00 To EBF HOLDINGS RPP28556778006192943192895,-446.67,6259.42,Expense - MCA - EBF,Expense - MCA Repayment
06 03 25,Electronic Withdrawal REF=251540041205940N00 To EBF HOLDINGS RPP28556778006192943192,-446.67,5812.75,Expense - MCA - EBF,Expense - MCA Repayment
06 04 25,Electronic Withdrawal REF=251540136842630N00 To EBF HOLDINGS RPP28556778006192943192,-446.67,5366.08,Expense - MCA - EBF,Expense - MCA Repayment
